City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Nukuhetulu
7,Lompoc,US,77.56,broken clouds,34.6391,-120.4579,Lompoc
9,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,Saint Joseph
14,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Kapolei
15,Kapaa,US,80.58,clear sky,22.0752,-159.319,Kapaʻa
24,Mount Isa,AU,85.77,few clouds,-20.7333,139.5,Mount Isa
26,Valle De Angeles,HN,82.29,broken clouds,14.15,-87.0333,Valle de Angeles
28,Atuona,PF,78.91,overcast clouds,-9.8,-139.0333,Atuona
29,Isangel,VU,84.96,scattered clouds,-19.55,169.2667,Isangel
30,Kharan,PK,75.76,scattered clouds,28.5833,65.4167,Kharan
37,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Saint Pierre
42,Morant Bay,JM,85.71,clear sky,17.8815,-76.4093,Morant Bay
43,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,Saint-Philippe
45,Azua,DO,79.59,overcast clouds,18.4532,-70.7349,Azua
47,Arraial Do Cabo,BR,76.86,few clouds,-22.9661,-42.0278,Cabo Frio
50,Kalmunai,LK,78.08,overcast clouds,7.4167,81.8167,Kalmunai
53,Natal,BR,81.25,few clouds,-5.795,-35.2094,Natal
56,Quila,MX,81.59,clear sky,24.4228,-107.22,Quila
60,Biak,ID,76.78,broken clouds,-0.9131,122.8766,CV. MEGA RENTAL Mobil Luwuk Banggai
61,Kidal,ML,76.35,clear sky,18.4411,1.4078,Kidal
70,Bengkulu,ID,75.6,overcast clouds,-3.8004,102.2655,Bengkulu
74,Pouebo,NC,82.6,overcast clouds,-20.4,164.5667,Pouebo
77,Port Blair,IN,79.5,broken clouds,11.6667,92.75,Port Blair
78,Rikitea,PF,80.29,overcast clouds,-23.1203,-134.9692,Rikitea
82,Puerto Ayora,EC,85.96,scattered clouds,-0.7393,-90.3518,Puerto Ayora
83,Haapiti,PF,85.73,overcast clouds,-17.5667,-149.8667,Ha'apiti
84,Lethem,GY,84.52,overcast clouds,3.3803,-59.7968,Bonfim
86,Luwuk,ID,78.49,broken clouds,-0.9516,122.7875,Luwuk
88,Canavieiras,BR,78.39,broken clouds,-15.675,-38.9472,Canavieiras
92,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Wilson Hill
97,Butaritari,KI,81.72,clear sky,3.0707,172.7902,Ukiangang
100,Hambantota,LK,77.02,broken clouds,6.1241,81.1185,Hambantota
106,Lorengau,PG,84.51,scattered clouds,-2.0226,147.2712,Lorengau
108,Mana,GF,76.14,light rain,5.6592,-53.7767,Mana
109,Panguna,PG,79.25,few clouds,-6.3164,155.4848,Panguna
112,Georgetown,MY,80.53,few clouds,5.4112,100.3354,George Town
114,Bambous Virieux,MU,79.05,moderate rain,-20.3428,57.7575,Vieux Grand Port
119,Sibolga,ID,75.94,overcast clouds,1.7427,98.7792,Sibolga
120,Progreso,MX,75.31,overcast clouds,21.2833,-89.6667,Progreso
121,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo
123,San Juan Bautista,PE,78.24,broken clouds,-14.0108,-75.7358,Ica
126,Cairns,AU,81.07,light intensity shower rain,-16.9167,145.7667,Cairns
132,Les Cayes,HT,77.88,broken clouds,18.2,-73.75,Les Cayes
135,Tutoia,BR,78.39,overcast clouds,-2.7619,-42.2744,Tutóia
141,Eyl,SO,75.69,overcast clouds,7.9803,49.8164,Eyl
147,Port Moresby,PG,81.82,few clouds,-9.4431,147.1797,Port Moresby
149,Samarai,PG,84.69,scattered clouds,-10.6167,150.6667,Magesina
152,Kahului,US,86.02,few clouds,20.8947,-156.47,Kahului
153,Salalah,OM,75.29,clear sky,17.0151,54.0924,Salalah
155,Santa Luzia,BR,81.68,light rain,-19.7697,-43.8514,Santa Luzia
158,The Valley,AI,78.66,few clouds,18.217,-63.0578,The Valley
160,Talikota,IN,79.77,scattered clouds,16.4833,76.3167,Talikoti
163,Barra Do Garcas,BR,75.69,overcast clouds,-15.89,-52.2567,Barra do Garças
164,Campoverde,PE,83.89,overcast clouds,-8.4753,-74.8058,Pueb Campo Verde
166,Araioses,BR,77.58,overcast clouds,-2.89,-41.9031,Araioses
170,Kulhudhuffushi,MV,81.68,overcast clouds,6.6221,73.07,Kulhudhuffushi
175,Manta,EC,83.98,scattered clouds,-0.95,-80.7333,Manta
176,Bambanglipuro,ID,77.2,overcast clouds,-7.95,110.2833,Bantul
181,Trenggalek,ID,75.25,overcast clouds,-8.05,111.7167,Trenggalek
182,Acapulco,MX,82.71,clear sky,16.8634,-99.8901,Acapulco
184,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Saint George's
185,Meulaboh,ID,76.73,broken clouds,4.1363,96.1285,Meulaboh
198,Barra,BR,81.82,few clouds,-11.0894,-43.1417,Barra
201,Mahibadhoo,MV,82.45,broken clouds,3.7833,72.9667,Omadhoo
202,Bubaque,GW,75.6,overcast clouds,11.2833,-15.8333,Bubaque
213,Guymon,US,78.8,clear sky,36.6828,-101.4816,Guymon
215,Kendari,ID,76.12,broken clouds,-3.945,122.4989,Kendari
219,Ugoofaaru,MV,82.15,overcast clouds,5.6667,73.0,Ungoofaaru
220,Vao,NC,79.72,few clouds,-22.6667,167.4833,Vao
221,Barreirinha,BR,76.6,moderate rain,-2.7933,-57.07,Centro
222,Aden,YE,77.76,clear sky,12.7794,45.0367,Aden
223,Kavaratti,IN,81.82,few clouds,10.5669,72.642,Kavaratti
224,Barinas,VE,82.4,overcast clouds,8.6226,-70.2075,Barinas
230,Itarema,BR,78.08,overcast clouds,-2.9248,-39.9167,Itarema
233,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Cockburn Town
234,Caravelas,BR,78.3,overcast clouds,-17.7125,-39.2481,Caravelas
244,Faranah,GN,84.04,overcast clouds,10.0404,-10.7434,Faranah
246,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Teluk Ambon
261,Harper,LR,79.86,broken clouds,4.375,-7.7169,Harper
266,Grand Gaube,MU,79.2,broken clouds,-20.0064,57.6608,Goodlands
267,Tenenkou,ML,83.79,scattered clouds,14.4572,-4.9169,Tenenkou
271,Dingle,PH,78.26,broken clouds,10.9995,122.6711,Pototan
274,Kudahuvadhoo,MV,82.74,scattered clouds,2.6708,72.8944,Kudahuvadhoo
276,Richards Bay,ZA,76.14,clear sky,-28.783,32.0377,Richards Bay
279,Hithadhoo,MV,82.98,overcast clouds,-0.6,73.0833,Addu City
281,Acajutla,SV,87.04,broken clouds,13.5928,-89.8275,Acajutla
283,Pisco,PE,75.25,few clouds,-13.7,-76.2167,Pisco
290,Parintins,BR,76.26,overcast clouds,-2.6283,-56.7358,Parintins
291,Cap Malheureux,MU,78.48,broken clouds,-19.9842,57.6142,Grand Baie
293,Karratha,AU,85.73,light rain,-20.7377,116.8463,Karratha
294,Teahupoo,PF,80.56,overcast clouds,-17.8333,-149.2667,Teahupo'o
296,Benguela,AO,78.42,overcast clouds,-12.5763,13.4055,Benguela
297,Bombay,IN,80.58,smoke,19.0144,72.8479,Mumbai
298,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Vila Velha
299,Vanimo,PG,80.35,broken clouds,-2.6741,141.3028,Vanimo
300,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Mahebourg
301,Djenne,ML,85.91,scattered clouds,13.9061,-4.5533,Djenne
303,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,San Cristobal
307,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Avarua District
310,Mae Ramat,TH,76.06,overcast clouds,16.984,98.5166,Mae Ramat
317,Biu,NG,76.46,overcast clouds,10.6129,12.1946,Biu
318,Muisne,EC,79.5,scattered clouds,0.6,-80.0333,Muisne
327,Cartagena,CO,85.62,scattered clouds,10.3997,-75.5144,Cartagena
342,Port Keats,AU,80.78,broken clouds,-14.25,129.55,Thamarrurr
347,Mayumba,GA,77.92,overcast clouds,-3.432,10.6554,Mayumba
348,Souillac,MU,79.18,light rain,-20.5167,57.5167,Souillac
351,Labuhan,ID,77.97,overcast clouds,-6.8844,112.2051,Musholla Babut Taubat
353,Quatre Cocos,MU,78.91,moderate rain,-20.2078,57.7625,Central Flacq
357,Auki,SB,84.16,overcast clouds,-8.7676,160.7034,Auki
358,La Union,PE,81.07,broken clouds,-5.4,-80.75,C.p la Union
360,Padang,ID,77.77,overcast clouds,-0.9492,100.3543,Padang
362,Bakel,SN,84.87,clear sky,14.905,-12.4568,Bakel
367,Jojoima,SL,75.0,light rain,7.8792,-10.7878,Jojoima
369,Namatanai,PG,83.88,broken clouds,-3.6667,152.4333,Namatanai
370,Dhadar,IN,77.05,clear sky,28.3305,75.0632,Churu Rural
372,Alofi,NU,84.09,clear sky,-19.0595,-169.9187,Alofi
379,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,Port Hedland
381,Lagos,NG,79.77,broken clouds,6.5833,3.75,Lekki
384,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Cabedelo
389,Sola,VU,81.91,overcast clouds,-13.8833,167.55,Sola
397,Carutapera,BR,75.9,overcast clouds,-1.195,-46.02,Carutapera
399,Pimentel,PE,82.69,light rain,-6.8367,-79.9342,Cercado de Pimentel
400,Escuintla,GT,89.22,broken clouds,14.305,-90.785,Escuintla
402,Trairi,BR,77.4,overcast clouds,-3.2778,-39.2689,Trairi
403,Bosobolo,CD,75.0,scattered clouds,4.1833,19.9,Bosobolo
413,Fare,PF,81.68,overcast clouds,-16.7,-151.0167,Fare
416,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Martapura
417,Benjamin Hill,MX,77.09,clear sky,30.1667,-111.1,Benjamín Hill
423,Am Timan,TD,87.49,broken clouds,11.0297,20.2827,Am Timan
424,Santa Rosa,PH,80.58,broken clouds,14.3122,121.1114,Santa Rosa
427,Cabo San Lucas,MX,79.61,broken clouds,22.8909,-109.9124,Cabo San Lucas
429,Buin,CL,88.12,clear sky,-33.7333,-70.75,San Bernardo
432,Aquiraz,BR,81.18,overcast clouds,-3.9014,-38.3911,Eusébio
433,Comodoro Rivadavia,AR,78.66,clear sky,-45.8667,-67.5,Comodoro Rivadavia
434,Sao Joao Da Barra,BR,78.15,clear sky,-21.6403,-41.0511,Grussaí
438,Puerto Gaitan,CO,86.36,heavy intensity rain,4.3133,-72.0816,Puerto Gaitán
439,Kavieng,PG,84.25,scattered clouds,-2.5744,150.7967,Kavieng
441,Gizo,SB,84.16,broken clouds,-8.103,156.8419,Gizo
444,Touros,BR,79.84,broken clouds,-5.1989,-35.4608,Touros
447,Kaeo,NZ,76.32,few clouds,-35.1,173.7833,Kaeo
450,Porteirinha,BR,78.58,overcast clouds,-15.7433,-43.0283,Porteirinha
451,Tecoanapa,MX,83.52,clear sky,16.5167,-98.75,Barra de Tecoanapa
454,Nhulunbuy,AU,77.61,moderate rain,-12.2333,136.7667,Nhulunbuy
459,Viedma,AR,75.94,scattered clouds,-40.8135,-62.9967,Viedma
462,Port Hueneme,US,79.45,clear sky,34.1478,-119.1951,Oxnard
463,Soure,BR,77.86,overcast clouds,-0.7167,-48.5233,Soure
465,Sinnamary,GF,76.59,overcast clouds,5.3833,-52.95,Sinnamary
469,Banda Aceh,ID,78.26,broken clouds,5.5577,95.3222,Banda Aceh
470,Panama City,PA,89.55,few clouds,8.9936,-79.5197,Panama City
474,Terra Santa,BR,76.98,overcast clouds,-2.1042,-56.4869,Terra Santa
475,Taquarana,BR,76.78,broken clouds,-9.645,-36.4972,Taquarana
484,Coahuayana,MX,83.28,clear sky,18.7333,-103.6833,Coahuayana de Hidalgo
490,Dwarka,IN,76.03,clear sky,22.2394,68.9678,Dwarka
491,Soeng Sang,TH,78.15,overcast clouds,14.4264,102.4606,Soeng Sang
493,Bandarbeyla,SO,76.89,broken clouds,9.4942,50.8122,Bandarbeyla
498,May Pen,JM,85.21,scattered clouds,17.9645,-77.2451,Hayes
499,La Primavera,CO,85.95,overcast clouds,5.4906,-70.4092,La Primavera
501,Ladario,BR,75.99,overcast clouds,-19.0047,-57.6017,Corumbá
503,Nicoya,CR,87.89,broken clouds,10.1483,-85.452,Nicoya
507,Matamoros,MX,76.03,clear sky,25.5333,-103.25,Matamoros
509,Filingue,NE,81.16,scattered clouds,14.3521,3.3168,Filingué
516,Nelson Bay,AU,75.0,scattered clouds,-32.7167,152.15,Nelson Bay - Corlette
517,Gamba,GA,77.77,overcast clouds,-2.65,10.0,Foundou
518,Hobyo,SO,78.53,overcast clouds,5.3505,48.5268,Hobyo
519,Riberalta,BO,82.6,broken clouds,-10.9833,-66.1,Riberalta
523,Kihei,US,86.02,few clouds,20.785,-156.4656,Kihei
524,Sur,OM,78.93,scattered clouds,22.5667,59.5289,Sur
528,Taoudenni,ML,76.82,clear sky,22.6783,-3.9836,Taoudenni
542,Puerto Escondido,MX,83.03,clear sky,15.85,-97.0667,Puerto Escondido
543,Luanda,AO,79.63,overcast clouds,-8.8368,13.2343,Luanda
544,Arauca,CO,84.88,broken clouds,7.0847,-70.7591,Arauca
548,Linaon,PH,80.85,broken clouds,9.9499,122.4483,Cauayan
552,Matara,LK,75.72,broken clouds,5.9485,80.5353,Matara
554,Hervey Bay,AU,75.29,overcast clouds,-25.2986,152.8535,Hervey Bay
556,Kismayo,SO,77.97,overcast clouds,-0.3582,42.5454,Kismayo
559,Inhambane,MZ,77.22,clear sky,-23.865,35.3833,Maxixe
564,Wamba,NG,77.58,scattered clouds,8.9333,8.6,Wamba
568,Toamasina,MG,75.2,few clouds,-18.1667,49.3833,Toamasina
573,Tanete,ID,76.35,broken clouds,-3.9443,119.7848,Pangkadjene
575,Gambela,ET,83.12,light rain,8.25,34.5833,Gambela
577,Totness,SR,76.57,broken clouds,5.8833,-56.3167,Totness
583,Atambua,ID,76.41,overcast clouds,-9.1061,124.8925,Atambua
585,Port-Gentil,GA,81.95,overcast clouds,-0.7193,8.7815,Port-Gentil
590,Pala,TD,81.36,clear sky,9.3642,14.9046,Pala
591,Guaymas,MX,85.89,few clouds,27.9333,-110.9,Guaymas
593,Mbini,GQ,79.97,broken clouds,1.574,9.6134,Mbini
596,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,Road Town
599,Cienaga,CO,89.73,broken clouds,11.007,-74.2476,Ciénaga
612,Lubao,PH,78.87,scattered clouds,14.9167,120.55,Lubao
626,Bac Lieu,VN,79.39,overcast clouds,9.285,105.7244,Bạc Liêu
627,Sao Jose Da Coroa Grande,BR,80.53,overcast clouds,-8.8978,-35.1478,São José da Coroa Grande
636,Belmonte,BR,79.14,broken clouds,-15.8631,-38.8828,Belmonte
640,Birao,CF,76.87,broken clouds,10.2849,22.7882,Birao
652,Esmeraldas,BR,81.64,overcast clouds,-19.7625,-44.3139,Esmeraldas
653,North Shore,NZ,75.0,few clouds,-36.8,174.75,Auckland
655,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Klouklubed
661,Srandakan,ID,77.4,overcast clouds,-7.9386,110.2506,Bantul
665,Dibulla,CO,78.91,overcast clouds,11.2725,-73.3091,"Dibulla, La Guajira"
668,Honiara,SB,85.14,broken clouds,-9.4333,159.95,Honiara
672,Pundaguitan,PH,82.51,broken clouds,6.3711,126.1689,Mati
673,Omboue,GA,78.91,light rain,-1.5746,9.2618,Omboue
677,Catuday,PH,77.92,broken clouds,16.2923,119.8062,Bolinao
679,Gigmoto,PH,79.05,overcast clouds,13.7796,124.39,Gigmoto
681,Katobu,ID,76.64,scattered clouds,-4.9408,122.5276,Kampani
682,Jacareacanga,BR,78.57,moderate rain,-6.2222,-57.7528,Jacareacanga
683,Kangaba,ML,84.96,broken clouds,11.9333,-8.4167,Kangaba
685,Soc Trang,VN,78.33,broken clouds,9.6033,105.98,Sóc Trăng
689,La Asuncion,VE,76.71,overcast clouds,11.0333,-63.8628,La Asuncion
690,Sosua,DO,84.18,few clouds,19.7667,-70.5167,Sosúa
691,Nha Trang,VN,77.0,broken clouds,12.25,109.1833,Nha Trang
